ID,Time,Dose_nanomole,Drug_nM,Target_nM,Complex_nM
10,8,NaN,1.066,3.39,9.152
10,12,NaN,0.165,5.459,7.641
10,16,NaN,0.088,6.766,5.592
10,20,NaN,0.059,8.534,5.312
10,24,NaN,0.048,9.542,4.051
10,30,NaN,0.031,9.487,2.87
10,36,NaN,0.023,9.361,2.061
10,42,NaN,0.017,10.086,1.545
10,48,NaN,0.011,9.528,1.127
10,56,NaN,0.007,9.02,0.642
10,64,NaN,0.005,9.55,0.471
10,72,NaN,0.003,10.526,0.286
11,0,500,NaN,NaN,NaN
11,0.5,NaN,73.273,1.404,8.577
11,1,NaN,51.2,0.573,9.417
11,2,NaN,30.52,0.542,9.547
11,4,NaN,9.912,1.043,10.968
11,8,NaN,1.119,3.506,9.572
11,12,NaN,0.162,5.798,6.89
11,16,NaN,0.081,7.004,6.385
11,20,NaN,0.06,8.075,5.179
11,24,NaN,0.045,8.833,4.425
11,30,NaN,0.031,9.429,2.514
11,36,NaN,0.022,10.001,2.108
11,42,NaN,0.017,9.74,1.693
11,48,NaN,0.011,9.945,1.013
11,56,NaN,0.008,10.079,0.712
11,64,NaN,0.005,10.241,0.469
11,72,NaN,0.003,10.18,0.307
12,0,500,NaN,NaN,NaN
12,0.5,NaN,71.622,1.442,8.03
12,1,NaN,50.555,0.555,9.561
12,2,NaN,32.483,0.577,10.608
12,4,NaN,11.459,1.167,9.929
12,8,NaN,1.111,3.332,10.331
12,12,NaN,0.172,5.333,7.936
12,16,NaN,0.078,7.429,6.087
12,20,NaN,0.063,7.418,4.848
12,24,NaN,0.045,8.834,3.962
12,30,NaN,0.033,9.377,2.826
12,36,NaN,0.023,10.109,2.172
12,42,NaN,0.017,10.718,1.417
12,48,NaN,0.012,10.75,1.093
12,56,NaN,0.007,9.886,0.733
12,64,NaN,0.005,10.48,0.488
12,72,NaN,0.003,9.528,0.3
